Time,P_H2_In,F-H-735,F-H-725,dP_HS,dP_NS,F_H2O,F_H2O_kg/s,dP_H2O,T_HS_In,T_HS_Out,T_NS_In,T_NS_Out,T_H2O_In,T_H2O_Out
[s],[bar],[kg/h],[kg/h],[bar],[bar],[m**3/h],[kg/s],[bar],[K],[K],[K],[K],[degC],[degC]
89,149.02,11.91,0.03,0.04,-0.02,2.18,0.663,1.66,78.35,140.85,112.87,165.05,-19.8,-24.7
90,150.28,12.05,0.03,0.04,-0.02,2.19,0.666,1.66,78.4,141.05,112.04,164.58,-19.7,-24.6
91,148.28,11.94,0.03,0.05,-0.02,2.19,0.666,1.64,78.4,141.37,113.8,165.05,-19.8,-24.7
92,148.13,11.94,0.03,0.08,-0.02,2.19,0.666,1.64,78.42,141.54,113.8,165.44,-19.4,-24.6
93,150.63,11.86,0.03,0.07,-0.01,2.2,0.669,1.63,78.35,141.78,113.37,165.44,-19.2,-24.5
94,150.63,12.04,0.03,0.07,-0.02,2.21,0.672,1.62,78.38,142.14,112.37,165.02,-19.1,-24.4
95,148.9,11.94,0.03,0.05,-0.02,2.22,0.675,1.62,78.4,142.34,114.21,165.42,-18.8,-24.3
96,147.45,11.94,0.03,0.03,-0.02,2.22,0.675,1.62,78.42,142.51,114.21,165.42,-18.9,-24.1
97,150.85,11.85,0.03,0.1,-0.01,2.23,0.678,1.61,78.38,142.97,113.9,165.79,-18.4,-24
98,150.85,12.03,0.03,0.1,-0.02,2.25,0.684,1.59,78.38,143.19,112.8,165.37,-18.2,-23.8
99,149.42,12.02,0.03,0.05,-0.02,2.26,0.687,1.59,78.4,143.55,112.8,165.79,-18,-23.6
100,147.1,12.02,0.03,0.04,-0.02,2.28,0.693,1.57,78.45,143.75,114.66,165.79,-17.8,-23.4
101,150.45,11.84,0.03,0.09,-0.02,2.28,0.693,1.57,78.45,143.99,114.47,166.23,-17.7,-23.1
102,150.45,12,0.03,0.05,-0.02,2.29,0.696,1.54,78.4,144.38,113.3,165.81,-17.3,-22.9
103,149.78,12.01,0.03,0.05,-0.02,2.31,0.702,1.54,78.45,144.55,113.3,166.23,-17,-22.7
104,147.67,11.88,0.03,0.05,-0.02,2.32,0.705,1.53,78.45,144.77,115.11,166.23,-16.6,-22.3
105,149.3,11.88,0.03,0.09,-0.02,2.32,0.704,1.51,78.42,145.25,115.04,166.67,-16.5,-22.1
106,150.2,11.93,0.03,0.06,-0.01,2.34,0.711,1.51,78.42,145.47,115.04,166.3,-16.5,-21.9
107,150.2,12.02,0.03,0.06,-0.02,2.35,0.714,1.5,78.42,145.67,113.76,166.3,-16.4,-21.5
108,148.15,11.9,0.03,0.05,-0.02,2.37,0.72,1.48,78.5,146.06,115.59,166.69,-16.2,-21.4
109,148.3,11.9,0.03,0.09,-0.01,2.37,0.719,1.48,78.45,146.27,115.54,167.16,-15.9,-21.4
110,150.63,11.87,0.03,0.04,-0.03,2.38,0.722,1.48,78.42,146.54,115.54,166.79,-15.5,-21.2
111,150.63,12.02,0.03,0.04,-0.02,2.4,0.728,1.47,78.42,146.88,114.09,166.79,-15.4,-21
112,148.83,11.97,0.03,0.05,-0.02,2.41,0.731,1.45,78.45,147.12,115.97,167.16,-15.5,-20.8
113,147.42,11.97,0.03,0.13,-0.02,2.43,0.737,1.44,78.45,147.39,115.97,167.68,-15.2,-20.5
114,150.83,11.85,0.03,0.03,-0.02,2.43,0.737,1.44,78.4,147.88,116.19,167.68,-15.2,-20.3
115,150.83,12.01,0.03,0.05,-0.02,2.44,0.74,1.43,78.42,148.1,114.66,167.41,-15.1,-20.2
116,149.23,11.97,0.03,0.05,-0.02,2.45,0.743,1.42,78.45,148.29,116.52,167.78,-15.1,-20.1
117,146.85,11.84,0.03,0.05,-0.02,2.47,0.749,1.42,78.5,148.7,116.52,168.29,-15.1,-20.1
118,150.5,11.84,0.03,0.1,-0.01,2.47,0.749,1.41,78.45,149,116.85,168.29,-14.6,-20.1
119,149.5,11.99,0.03,0.05,-0.02,2.47,0.749,1.35,78.45,149.46,115.28,168.02,-14.3,-19.9
120,149.5,11.99,0.03,0.05,-0.02,2.48,0.752,1.23,78.45,149.68,117.14,168.37,-14.3,-19.8
121,147.3,11.85,0.03,0.05,-0.02,2.44,0.74,1.23,78.54,149.92,117.14,168.88,-14.1,-19.7
122,149.27,11.94,0.03,0.1,-0.01,2.39,0.725,1.21,78.45,150.43,117.52,168.88,-14.3,-19.4
123,149.88,11.94,0.03,0.05,-0.02,2.36,0.716,1.2,78.45,150.73,115.81,168.66,-14,-19.3
124,147.85,12.03,0.03,0.05,-0.02,2.36,0.716,1.2,78.47,151.21,117.67,168.98,-13.8,-19.2
125,147.85,11.9,0.03,0.05,-0.02,2.35,0.713,1.2,78.54,151.43,117.67,169.54,-13.7,-19.1
126,148.32,11.9,0.03,0.09,-0.02,2.34,0.709,1.19,78.5,151.75,118.09,169.54,-13.3,-19
127,150.38,12.06,0.03,0.07,0,2.34,0.709,1.18,78.47,152.27,116.19,169.25,-13.4,-18.9
128,148.6,12.06,0.03,0.05,-0.02,2.34,0.709,1.17,78.5,152.46,116.19,169.54,-13.1,-18.7
129,148.6,11.99,0.03,0.06,-0.02,2.34,0.709,1.17,78.54,152.68,118.14,169.54,-12.8,-18.4
130,147.52,11.86,0.03,0.06,-0.02,2.35,0.712,1.16,78.47,153.27,118.76,170.06,-12.7,-18.3
131,150.63,12.02,0.03,0.08,-0.04,2.36,0.715,1.15,78.45,153.56,116.83,169.94,-12.5,-18.1
132,149.05,12.02,0.03,0.05,-0.02,2.36,0.715,1.15,78.47,153.81,116.83,170.26,-12.5,-17.9
133,146.8,11.98,0.03,0.05,-0.02,2.36,0.715,1.14,78.54,154.29,118.74,170.26,-12.2,-17.7
134,146.8,11.85,0.03,0.05,-0.02,2.37,0.718,1.13,78.54,154.51,119.53,170.85,-12,-17.6
135,150.68,11.98,0.03,0.1,-0.02,2.38,0.721,1.12,78.45,154.83,119.53,170.68,-11.7,-17.4
136,149.4,11.98,0.03,0.06,-0.02,2.39,0.724,1.12,78.5,155.34,117.52,170.68,-11.6,-17.3
137,147.17,12.01,0.03,0.05,-0.02,2.39,0.724,1.11,78.5,155.56,119.43,170.97,-11.6,-17.2
138,147.17,11.85,0.03,0.05,-0.02,2.4,0.727,1.1,78.54,156.1,120.36,171.57,-11.3,-16.9
139,149.42,11.92,0.03,0.11,-0.02,2.41,0.73,1.1,78.47,156.42,120.36,171.42,-11.2,-16.8
140,149.65,12,0.03,0.06,-0.02,2.41,0.73,1.09,78.5,156.69,118.33,171.42,-11,-16.6
141,147.63,12,0.03,0.05,-0.02,2.41,0.73,1.08,78.57,157.18,120.24,171.71,-10.8,-16.5
142,148.23,11.9,0.03,0.1,-0.01,2.42,0.733,1.08,78.59,157.4,121.25,172.28,-10.7,-16.4
143,148.23,11.88,0.03,0.1,-0.02,2.43,0.736,1.08,78.5,157.76,121.25,172.21,-10.5,-16.3
144,150,12.03,0.03,0.06,-0.02,2.44,0.738,1.07,78.52,158.35,119,172.21,-10.4,-16.1
145,148.13,12.03,0.03,0.05,-0.02,2.44,0.738,1.06,78.54,158.57,120.82,172.5,-10.3,-16
146,147.4,11.9,0.03,0.12,0,2.44,0.738,1.05,78.61,158.84,120.82,173.1,-10.1,-15.7
147,147.4,11.83,0.03,0.12,-0.02,2.45,0.741,1.05,78.54,159.48,121.87,173.1,-10.1,-15.6
148,150.35,12,0.03,0.06,-0.02,2.46,0.744,1.04,78.54,159.72,119.57,173.02,-10.2,-15.6
149,148.7,11.96,0.03,0.06,-0.02,2.47,0.747,1.02,78.54,160.31,121.49,173.32,-9.7,-15.4
150,146.7,11.96,0.03,0.09,-0.02,2.47,0.747,1.02,78.66,160.58,121.49,173.86,-9.6,-15.3
151,150.6,11.85,0.03,0.11,-0.01,2.47,0.747,1.02,78.61,160.9,122.59,173.86,-9.4,-15.2
152,150.6,12,0.03,0.11,-0.01,2.48,0.75,1.01,78.54,161.54,120.12,173.81,-9.2,-15
153,149.38,11.97,0.03,0.06,-0.02,2.48,0.75,1,78.57,161.78,120.12,174.08,-9.3,-15
154,147.1,11.97,0.03,0.06,-0.02,2.48,0.75,1,78.61,162.08,122.02,174.65,-8.8,-14.8
155,149.7,11.84,0.03,0.11,-0.01,2.49,0.753,0.99,78.54,162.67,123.38,174.65,-8.7,-14.6
156,149.7,11.95,0.03,0.11,-0.02,2.5,0.756,0.97,78.52,163.01,120.91,174.65,-8.5,-14.5
157,149.75,12.02,0.03,0.06,-0.02,2.5,0.756,0.97,78.57,163.33,120.91,174.87,-8.3,-14.2
158,147.65,11.87,0.03,0.06,-0.02,2.51,0.759,0.96,78.59,163.89,122.78,174.87,-8.4,-14.1
